Sentence,Errors
Mike quipped she never wore this hat.,[]
I dislike it for him to tickle myself.,[]
I dislike his tickling myself.,[]
The cages which we donated wire for the convicts to build with are strong.,[]
What kind cf parakeets are they investigating all people owning?,[]
Her efficient looking of the answer up pleased the boss.,[]
She did with her father away.,[]
A proof that the claim had been made was given that John had lied.,[]
That Sam didn't pick those packages up is possible which are to be mailed tomorrow.,[]
That Sam didn't pick those packages which are to be mailed tomorrow up is possible.,[]
It is possible that Sam didn't pick those packages which are to be mailed tomorrow up.,[]
Sam didn't pick those packages up until it had stopped raining which are to be mailed tomorrow.,[]
Which packages is it possible that Sam didn't pick up which are to be mailed tomorrow until it had stopped raining?,[]
Which packages didn't Sam pick up which are to be mailed tomorrow until it had stopped raining?,[]
The coat which a girl came in who had worn was torn.,[]
Which picture is Ann going to send to her teacher of Chairman Mao as soon as she gets home?,[]
"Who is Ann going to send a picture to her teacher of, as soon as she gets home?",[]
That a review came out yesterday is catastrophic of this article.,[]
I'll give to my good friend from Akron some.,[]
I will ask you to believe that he tried to force me to give her any money.,[]
That he ever went there alone is certain.,[]
I never met that man who anybody tried to kill.,[]
Tom told anybody that he wasn't sick.,[]
Buffy couldn't do 100 push ups and anybody laughed.,"[{'ruleId': 'EN_COMPOUNDS_PUSH_UPS', 'message': 'This word is normally spelled with a hyphen.', 'suggestions': ['push-ups']}]"
That the sun is out was obvious.,[]
That Jack ever slept is possible.,[]
I talked to Winston about Winston.,[]
I talked to Winston about him.,[]
John is prouder of having gone than nobody expected me to believe he would be.,[]
John is prouder of having gone than John didn't expect me to believe he would be.,[]
John is prouder of having gone than John expected nobody to believe he would be.,[]
John is prouder of having gone than John expected me not to believe he would be.,[]
John is prouder of having gone than than John expected me to believe not all.,"[{'ruleId': 'ENGLISH_WORD_REPEAT_RULE', 'message': 'Possible typo: you repeated a word', 'suggestions': ['than']}]"
John is prouder of having gone than John expected me to believe that he wasn't.,[]
"Tom ordered bacon, and Dick lettuce, and I think that Harry tomatoes.",[]
Joe is taller than I think Mary.,[]
"It never occurred to Harvey because he is insensitive to other people's desires that, I might want to leave.",[]
He'll bring me one if he sees a hot dog.,[]
Seven more soldiers came in after ten ones had left.,[]
Seven more ones came in after ten soldiers had left.,[]
"After ten soldiers had left, seven more ones came in.",[]
"After ten ones had left, seven more soldiers came in.",[]
Seven more came in after ten soldiers had left.,[]
"If it, I've lost $500.",[]
"Harry thinks so, although no one else thinks Sally is innocent.",[]
I will if I can work on it.,[]
Whether he left!,[]
Why he knows the answer!,[]
Which boy is tall!,[]
How brave they must believe the claim that you are!,[]
How brave he is tall and!,[]
How brave Mike is cowardly and Sam is!,[]
Bill left when I am looking at a girl who vomited.,[]
Bill left when I believe the claim that the bomb had just exploded.,[]
"When I am awake at that time and Susan is asleep, Bill will leave.",[]
Bill left when that no one else was awake is certain.,[]
I brought a razor to shave himself with.,[]
I brought a razor to shave myself with.,[]
I brought a razor with which to shave himself.,[]
I brought John a razor to shave myself with.,[]
I brought John a razor with which to shave myself.,[]
Here's a knife which for you to cut up the onions with.,[]
Here's a knife for you to say was on the table.,[]
Here's a pole for you to kiss the girl who tied the string around.,[]
Here's a razor for you to chop up these nuts with this cleaver and.,[]
Here's a razor for that you will be shaved with to be announced.,[]
Here's a razor for it to be announced that you will be shaved with.,[]
I loaned Maggie a Swiss Army knife whose to open the padlock with corkscrew.,[]
"Fluffy is sick, which I slapped a boy who wouldn't acknowledge.",[]
"Fluffy is sick, which I fell asleep and Tom suddenly realized.",[]
"Fluffy is sick, which that no one here realizes is certain.",[]
"Fluffy is sick, as nobody knows.",[]
"Fluffy is sick, as surprises me.",[]
It is this hat that I know the boy who is wearing.,[]
What I know the boy who was wearing is this hat.,[]
This hat I know the boy who was wearing.,[]
What the gloves and were on the table was this hat.,[]
This hat the gloves and were on the table.,[]
It is this hat that that he was wearing is certain.,"[{'ruleId': 'ENGLISH_WORD_REPEAT_RULE', 'message': 'Possible typo: you repeated a word', 'suggestions': ['that']}]"
What that he was wearing is certain is this hat.,[]
It was John's that I stole bike.,[]
The one whose I stole bike was John's.,[]
John's I stole bike.,[]
Maxwell isn't half the doctor.,[]
Maxwell isn't half the doctor that was here.,[]
Maxwell isn't half the doctor that polished off the vodka.,[]
Half the doctor that Maxwell's father was sat down.,[]
Maxwell isn't half the doctor that I know an African chief who is.,[]
Maxwell isn't half the doctor that his sister is a psychologist and his father was.,[]
Maxwell isn't half the doctor that that he would be if he studied is certain.,"[{'ruleId': 'ENGLISH_WORD_REPEAT_RULE', 'message': 'Possible typo: you repeated a word', 'suggestions': ['that']}]"
He's the happiest that we ever talked to the boy who had seen him.,[]
The hardest that I ever knew a man who said that it had snowed was last January 12th.,[]
He's the happiest that I've ever seen him drunk and.,[]
The hardest that all the power lines were down and it snowed was last January 12th.,[]
He is the happiest that that he has ever been is believed.,"[{'ruleId': 'ENGLISH_WORD_REPEAT_RULE', 'message': 'Possible typo: you repeated a word', 'suggestions': ['that']}]"
The hardest that that it has snowed here is believed was last January 12th.,"[{'ruleId': 'ENGLISH_WORD_REPEAT_RULE', 'message': 'Possible typo: you repeated a word', 'suggestions': ['that']}]"
A friend of mine and a girl who was from his home town met in Vienna who was working in Europe.,"[{'ruleId': 'HOME_COMPOUNDS_EN_US', 'message': 'The word “hometown” is normally spelled as one word.', 'suggestions': ['hometown']}]"
A friend of mine who was working in Europe and a girl met in Vienna who was from his home town.,"[{'ruleId': 'HOME_COMPOUNDS_EN_US', 'message': 'The word “hometown” is normally spelled as one word.', 'suggestions': ['hometown']}]"
It and that he loved another was painfully evident that she loved him.,[]
That she loved him and it was painfully evident that he loved another.,"[{'ruleId': 'COMMA_COMPOUND_SENTENCE', 'message': 'Use a comma before ‘and’ if it connects two independent clauses (unless they are closely connected and short).', 'suggestions': [', and']}]"
Mary and kissed an old friend who comes from Miami.,[]
I gave a picture of a covered bridge and to my sister a hundred hikers from Hoboken.,[]
Joan plays and sings folk songs a wonderful old guitar from Spain.,[]
"Sally might be, and I know a girl who definitely is pregnant.",[]
"Sally is tall, and may be, and Sheila is short, and definitely is, blond.",[]
"Hank plays the guitar and finds arrangements for, and Ernie writes down, all the old folk songs which are still sung in these hills.",[]
"They said nobody would pay up, but pay up I know a boy who did.",[]
"They said that Tom would pay up, and pay up that he did is well-known.",[]
"Handsome though I know several boys who are, I'm still going to marry Herman.",[]
"Handsome though Dick is fair, Nordic, strong and, I'm still going to marry Herman.",[]
"Handsome though that Dick will be is likely, I'm still going to marry Herman.",[]
"The more contented I laughed at the nurse who thought that we were becoming, the more angry we grew at the doctors.",[]
"The more contented the nurses began to believe that we were going to pretend to be, the more angry we grew at the doctors.",[]
"The more contented we pretended to be better fed and, the more angry we grew at the doctors.",[]
"The more contented for us to pretend to be became possible, the more angry we grew at the doctors.","[{'ruleId': 'BEEN_PART_AGREEMENT', 'message': 'Consider using either the past participle “become” or the present participle “becoming” here.', 'suggestions': ['become', 'becoming']}]"
I have some papers to announce that I've got to grade.,[]
I have some papers to grade these exams and.,[]
I have some voice exercises to play the guitar and sing.,[]
I have John's to grade paper.,[]
Willy is taller than I know a boy who is.,[]
Willy is taller than Bill is strong and.,[]
Dean drank more booze than Frank ate Wheaties and Sammy drank.,[]
Willy is taller than that Bill is is generally believed.,"[{'ruleId': 'ENGLISH_WORD_REPEAT_RULE', 'message': 'Possible typo: you repeated a word', 'suggestions': ['is']}]"
Willy is taller than Bill by as much as I know a boy who thinks that Bill is taller than Dan.,[]
Willy is taller than Bill by as much as I watch all the games and I know Billy is taller than Dan.,[]
Willy is taller than Bill by as much as that Bill is taller than Dan is believed.,[]
This rock is too heavy for me to begin to decide about helping Bob to try to pick up.,[]
This rock is too heavy for us to try to claim that we picked up.,[]
Sodium is a little too peppy for me to want to try mixing and water in a teacup.,[]
That piece of ice is too big for for him to be able to pick up with a teaspoon to be likely.,"[{'ruleId': 'ENGLISH_WORD_REPEAT_RULE', 'message': 'Possible typo: you repeated a word', 'suggestions': ['for']}]"
That piece of ice is too big for it to be likely for him to be able to pick up with a teaspoon.,[]
Bob is too thin for me to be able to squeeze into jacket.,[]
The socks are ready for you to announce that you will put on.,[]
The socks are ready for you to try and the shoes on.,[]
John is ready for you to inspect bunk.,[]
The socks are ready for it to be planned for you to put on.,[]
John tried Bill to play checkers.,[]
John tried for Bill to play checkers.,[]
Bill would be easy for for you to chat with in Moscow to become expensive.,"[{'ruleId': 'ENGLISH_WORD_REPEAT_RULE', 'message': 'Possible typo: you repeated a word', 'suggestions': ['for']}]"
Bill would be easy for it to become expensive for you to chat with in Moscow.,[]
"If my father, he comes home late, my mother always grills him.",[]
"It started to rain after Jackie and me, we had finally gotten to our seats.",[]
"I acknowledged that my father, he was tight as an owl.",[]
That beans he likes is now obvious.,[]
I'm going to write to the Game Warden if more than one deer my neighbor brings back.,[]
I don't know the boy who the flowers Mary gave to.,[]
I don't know the boy the flowers who Mary gave to.,[]
That informers they never use is claimed by the CIA.,[]
"That they spoke to the janitor about that robbery yesterday is terrible, the cops.",[]
"They let him go yesterday, he.",[]
"They let him go yesterday, him.",[]
"I like beer, I.",[]
"I like beer, me.",[]
"We'll go together, us.",[]
"They can't stand each other, they.",[]
"They can't stand each other, them.",[]
"He, they let him go yesterday.",[]
"I, I like beer.",[]
"We, we'll go together.",[]
"They, they can't stand each other.",[]
I saw Mary and downtown yesterday your friend from Boston.,[]
I noticed car in the driveway last night your friend from Boston.,[]
I spoke to about the war yesterday that guy who's always following us.,[]
"Any student, who wears socks, is a swinger.",[]
"No student, who wears socks, is a swinger.",[]
"Every student, who wears socks, is a swinger.",[]
"Any student, and he wears socks, is a swinger.",[]
"No student, and he wears socks, is a swinger.",[]
There will be the hole in Jack's pocket.,[]
That barn has seven pine trees behind itself.,[]
That barn has seven pine trees behind the cow.,[]
There is a hole in John's quilt's upper right-hand corner.,[]
John's quilt's upper right-hand corner has a hole.,[]
John has a hole in his quilt's upper right-hand corner.,[]
The door has seven holes in it and the window.,[]
Jerry has a blemish on the end of his sister's nose.,[]
John had an error in the proof Sarah presented.,[]
The car had a yellow collar on the dog which it injured.,[]
That stone has a hole in the tarpaulin which it is holding down.,[]
The time bomb had a snake behind the car which it was sitting in.,[]
The hot potato had several hundred people yelling for me to put it down gently.,[]
Bartlett and danced Toni.,[]
And Toni danced Bartlett.,[]
The only girl for whom it bothers me to wear that old fedora is Annabelle.,[]
The only girl who it bothers me to wear that old fedora is Annabelle.,[]
Which girl did he give my binoculars?,[]
What did Bill confirm that Roger had eaten?,[]
Bill didn't confirm that Roger had eaten anything.,[]
Waldo didn't report the possibility that anyone had left.,[]
Only the travelers who anybody has ever robbed don't carry machetes.,[]
I can't remember the name of somebody who had any misgivings.,[]
Every student who ever goes to Europe ever has enough money.,[]
I didn't eat the ice cream and any cake.,[]
I didn't eat any ice cream and any cake.,[]
I didn't eat the cake or any ice cream.,[]
I didn't eat any ice cream or Mary's cake.,[]
I didn't eat any ice cream or the cake.,[]
Few writers and any playwrights meet in Vienna.,[]
My brother and few Americans meet in Vienna.,[]
Bill understands Mary and himself.,[]
Bill understands himself and Mary.,[]
Bill and Mary washed himself.,[]
Andy pinched Sarah and tickled herself.,[]
The gun and a description of itself lay on the bureau.,[]
Bill believes Anna and himself to be similar.,[]
I deny that that Bob has any money is certain.,[]
I deny that that Bob has some money is certain.,[]
The writers of any of the reports didn't know the answer.,"[{'ruleId': 'OF_ANY_OF', 'message': 'Consider simply using “of” instead.', 'suggestions': ['of']}]"
The man who I gave John this picture of was bald.,[]
The man who I gave John Ed's picture of was bald.,[]
I gave Jack Ed's picture of myself.,[]
I didn't give Jack this picture of anybody.,[]
The noise gave a headache to Terry.,[]
Felicia sent the box off the shelf.,[]
Felicia sent the box out of the storeroom.,[]
Felicia shipped the box off the shelf.,[]
Felicia shipped the box out of the storeroom.,[]
Jake sent the box at Carson.,[]
Jake sent the box towards Carson.,[]
Jake shipped the box at Carson.,[]
Jake shipped the box towards Carson.,[]
Where did you give the ball?,[]
I gave the package to London.,[]
Susan gave the ball halfway to Bill.,[]
Susan gave the ball all the way to Bill.,[]
Fred gave the ball under Molly.,[]
Fred gave the ball behind Molly.,[]
Fred gave the ball over Molly.,[]
Fred offered the ball under Molly.,[]
Fred offered the ball over Molly.,[]
Sam gave the ball off the shelf.,[]
Sam offered the ball off the shelf.,[]
Jill gave the ball at Bob.,[]
Jill gave the ball towards Bob.,[]
Jill offered the ball at Bob.,[]
Jill offered the ball towards Bob.,[]
Smith threw the first base the ball.,[]
Smith envied his good fortune to Jones.,[]
I lent the book halfway to Tony.,[]
I lent the book all the way to Tony.,[]
I lent the book most of the way to Tony.,[]
I lent Tony the book partway.,[]
I lent Tony the book halfway.,[]
I lent Tony the book all the way.,[]
I lent Tony the book most of the way.,[]
Robin arrived partway at the station.,[]
Robin arrived all the way at the station.,[]
Robin arrived most of the way at the station.,[]
The old dog died partway.,[]
The old dog died halfway.,[]
The old dog died all the way.,[]
I sent the devil the salesman.,[]
Monica covered a blanket over the baby.,[]
Carla poured the pitcher with lemonade.,[]
The magician appeared a rabbit out of his hat.,[]
Martha carved the baby some wood into a toy.,[]
Cats touch easily.,[]
Door frames hit easily.,[]
Janet broke at the vase.,[]
Terry touched at the cat.,[]
Jean moved at the table.,[]
The string cut.,[]
The cat touched.,[]
The door hit.,[]
French fabrics adore easily.,[]
The answer knows easily.,[]
The bicycle gave to me.,[]
The bread cut.,[]
The magician appeared a dove from his sleeve.,[]
Jennifer craned.,[]
Celia braided.,[]
Tessa sprained.,[]
I shaved myself.,[]
Celia brushed.,[]
Tessa cut.,[]
Brenda chatted Molly.,[]
The drunk and the lamppost hugged.,[]
Ellen argued Helen.,[]
This key won't open.,[]
This hammer won't break.,[]
Like the ice cream.,[]
Like after tasting.,[]
Janet broke at the bread.,[]
Monica moved at the cat.,[]
The spaceship revolves the earth.,[]
Bill sent London a package.,[]
June covered the blanket over the baby.,[]
Tamara poured the bowl with water.,[]
The thief stole the museum of the painting.,[]
Helen wiped the wall of fingerprints.,[]
People are seething in the square.,[]
The pasture is herding with cattle.,[]
David constructed the bricks into a house.,[]
The witch turned him from a prince.,[]
Martha carved the piece of wood from a branch into a toy.,[]
I whipped the eggs from a puddle into a froth.,[]
That acorn will grow from a seed into an oak tree.,[]
Linda taped the label and the cover.,[]
Harriet alternated folk songs and pop songs together.,[]
I detached the handle and the box apart.,[]
Bill married with Kathy.,[]
The twig and the branch broke.,[]
Plays and ballets alternate together.,[]
The yolk and the white separated apart.,[]
The judge offered the winner with a prize.,[]
The judge saddled a prize to the winner.,[]
The jeweller copied the ring with the name.,"[{'ruleId': 'MORFOLOGIK_RULE_EN_US', 'message': 'Possible spelling mistake. ‘jeweller’ is British English.', 'suggestions': ['jeweler']}]"
The jeweller decorated the name on the ring.,"[{'ruleId': 'MORFOLOGIK_RULE_EN_US', 'message': 'Possible spelling mistake. ‘jeweller’ is British English.', 'suggestions': ['jeweler']}]"
Mira condemned the accident on Terry.,[]
Melissa searched a clue in the papers.,[]
I stalked for game in the woods.,[]
We investigated for bombs in the area.,[]
We investigated bombs in the area.,[]
We rummaged the desk for papers.,[]
We rummaged papers through the desk.,[]
I sought the woods for game.,[]
I sought for game in the woods.,[]
The horse broke Penny in the shin.,[]
The glass cut Rachel in the toe.,[]
I sensed him for his eagerness.,[]
They praise the dedication in the volunteers.,[]
Angela characterized Shelly a lifesaver.,[]
The captain named the ship as Seafarer.,[]
The spoon ate the ice cream.,[]
The pitchfork loaded the truck.,[]
Those new bricks constructed a house.,[]
The new tax Jaws will gain the middle class.,[]
This movie just watches itself.,[]
This ice cream just melts itself.,[]
Tuesday was slept on by George Washington.,[]
The horizon was appeared on by a pirate ship.,[]
There appeared the ship on the horizon.,[]
There ran a little boy in the yard.,[]
There melted a lot of snow on the streets of Chicago.,[]
On the table jumped a cat.,[]
On the streets of Chicago melted a lot of snow.,[]
Kelly buttered the bread with butter.,[]
Lydia pocketed the change in her pocket.,[]
The cook boned the fish of bones.,[]
The cook boned the fish of its backbone.,[]
A cheerful welcome was beamed by Sandra.,[]
The children came their way to the party.,[]
The flower bloomed its way to a prize.,[]
They disappeared their way off the stage.,[]
The silversmith pounded on the metal flat.,[]
The dog smelled the flower bed bare.,[]
The teacher hated the pupils angry.,[]
Willa arrived breathless.,[]
Sharon brought Willa breathless.,[]
This list includes my name on itself.,[]
They rumor that he left town.,[]
The politician perjured his aide.,[]
Jennifer craned his neck.,[]
Jennifer craned her arm.,[]
The teacher meant.,[]
The horse budged.,[]
I put the book to Sally.,[]
I put the book from Edna.,[]
I put the book from Edna to Sally.,[]
I put the table with the books.,[]
I put the table with books.,[]
The books put on the table easily.,[]
The books put on the table.,[]
I put on the table.,[]
Cheryl stood the books from Edna.,[]
Cheryl stood the books from Edna to Sarah.,[]
Cheryl stood the shelf with books.,[]
Cheryl stood the shelf with the books.,[]
Tall books stand on tables easily.,[]
Cheryl stood on the table.,[]
I funneled the mixture to Rina.,"[{'ruleId': 'MORFOLOGIK_RULE_EN_US', 'message': 'Possible spelling mistake found.', 'suggestions': ['Ring', 'RNA', 'Rink', 'Nina', 'Riga', 'Rita', 'Tina', 'Gina', 'rRNA', 'Dina', 'Irina', 'Rind', 'Ina', 'Rena', 'Trina', 'rDNA', 'FINA', 'INA', 'Lina', 'RDNA', 'RIA', 'RIAA', 'RIMA', 'RINO']}]"
I funneled the mixture from Edna to Rina.,"[{'ruleId': 'MORFOLOGIK_RULE_EN_US', 'message': 'Possible spelling mistake found.', 'suggestions': ['Ring', 'RNA', 'Rink', 'Nina', 'Riga', 'Rita', 'Tina', 'Gina', 'rRNA', 'Dina', 'Irina', 'Rind', 'Ina', 'Rena', 'Trina', 'rDNA', 'FINA', 'INA', 'Lina', 'RDNA', 'RIA', 'RIAA', 'RIMA', 'RINO']}]"
I funneled the bottle with the mixture.,[]
The mixture funnels easily.,[]
The mixture funnels.,[]
I funneled the mixture.,[]
I funneled into the bottle.,[]
I lifted the table with the books.,[]
I lifted him up the books.,[]
I lifted onto the table.,[]
Tamara poured at water into the bowl.,[]
Water pours easily onto the plants.,[]
Cora coiled the post with the rope.,[]
Cora coiled at the rope around the post.,[]
Cora coiled around the post.,[]
The wall sprayed with paint.,[]
Jessica loaded boxes at the truck.,[]
Jessica stuffed boxes at the truck.,[]
Leslie staffed employees in the store.,[]
The store staffed with employees.,[]
Lora buttered unsalted butter on the toast.,[]
Lora buttered at the toast with unsalted butter.,[]
The toast buttered with unsalted butter.,[]
The toast buttered.,[]
Lydia pocketed her pocket with the change.,[]
The change pocketed.,[]
Doug removed the scratches out of the drawer.,[]
Doug removed the scratches to nowhere.,[]
Doug removed the tabletop of scratches.,[]
Doug removed at the scratches from the tabletop.,[]
The scratches removed from the tabletop.,[]
The king banished the general from the palace to a mountain fortress.,[]
The king banished at the general from the army.,[]
The general banished from the army.,[]
Doug cleared at the table of dishes.,[]
Doug cleared at the table.,[]
Brian wiped the counter of fingerprints.,[]
Carla shoveled the walk of snow.,[]
Carla shoveled at the walk.,[]
The thief stole Mr. Smith the painting.,[]
The thief stole at the painting from the museum.,[]
The painting stole from the museum.,[]
The doctor cured pneumonia from Pat.,[]
Pat cured of pneumonia.,[]
The fish boned.,[]
The fish scrubbed.,[]
The gold mined.,[]
Nora sent at the book to Peter.,[]
The book sent to Peter.,[]
Books send easily to children.,[]
Carla slid at the book to Dale.,[]
Nora brought at the book to the meeting.,[]
The book brought to the meeting.,[]
The book brings easily to the meeting.,[]
Amanda carried at the package to New York.,[]
The package carried to New York.,[]
The package carried.,[]
Packages carry easily to New York.,[]
Amanda drove at the package to New York.,[]
Amanda drove at the package.,[]
The package drove to New York.,[]
The package drove.,[]
Packages drive easily.,[]
They lent me with a bicycle.,[]
A bicycle lent.,[]
A bicycle lent to me.,[]
We contributed her our paycheck.,[]
We contributed her with our paycheck.,[]
Our paycheck contributed.,[]
We offered a job behind her.,[]
We offered her with a job.,[]
A job offered to her.,[]
Brown equipped a camera near Jones.,[]
Brown equipped a camera next to Jones.,[]
Brown equipped a camera at Jones.,[]
Brown equipped a camera to Jones.,[]
Brown equipped Jones a camera.,[]
Carmen bought a dress to Mary.,[]
Carmen bought Diana of a dress.,[]
Carmen obtained Mary a spare part.,[]
Carmen obtained a spare part to Mary.,[]
Carmen obtained Diana of a spare part.,[]
Gwen exchanged the dress to Mary.,[]
Gwen exchanged Mary the dress.,[]
She held at the rail.,[]
The rail holds easily.,[]
She held the paper from him.,[]
Frances hid Sally of the presents.,[]
Steve tossed Anna with the ball.,[]
Steve tossed the wall with the ball.,[]
Steve tossed at the ball.,[]
The ball tossed.,[]
Baseballs toss easily.,[]
Steve pelted acorns at Anna.,[]
Steve pelted at Anna.,[]
Steve pelted at Anna with acorns.,[]
Steve pelted acorns against Anna.,[]
Steve pelted acorns to Anna.,[]
Steve pelted Anna acorns.,[]
Squirrels pelt easily with acorns.,[]
Paula hit the stick into the fence.,[]
Paula hit the sticks.,[]
The fence hit with a stick.,[]
The fence hit.,[]
The fence hits easily.,[]
Paula swatted the cloth on the fly.,[]
Paula swatted the cloth against the fly.,[]
Paula swatted the cloth through the fly.,[]
Paula swatted the cloth into the fly.,[]
The fly swatted.,[]
Flies swat easily.,[]
The cloth swatted the fly.,[]
Paula spanked her right hand against the naughty child.,[]
Paula spanked her right hand into the naughty child.,[]
Paula spanked her right hand through the naughty child.,[]
The naughty child spanked.,[]
Naughty children spank easily.,[]
Paula's right hand spanked the naughty child.,[]
The wall banged with the grocery cart.,[]
The old and new carts banged.,[]
Carrie touched the stick against the cat.,[]
Carrie touched the stick into the cat.,[]
Carrie touched the stick through.,[]
Carrie touched at the cat.,[]
That cat touches easily.,[]
The stick touched the fence.,[]
Carol carved at the stone.,[]
Carol carved the tree on the branch.,[]
The stone carved.,[]
Linda taped the wall with the picture.,[]
The child and her mother clung.,[]
The war clung the child to her mother.,[]
I separated the milk of the cream.,[]
I broke the twig and the branch.,[]
I detached the handle and the box.,[]
The handle detached from the box.,[]
That new handle detaches from the box easily.,[]
I differed this flyer from that flyer.,[]
The secretary transcribed the record with the speech.,[]
Donna fixed last night's leftovers into a sandwich.,[]
David constructed me a house.,[]
The house constructed.,[]
David constructed the mansion from bricks into a house.,[]
I shaped a loaf from the dough.,[]
I shaped a good loaf from this dough.,[]
This dough shapes a good loaf.,[]
I shaped the dough from a lump into a loaf.,[]
He turned from a prince.,[]
The song sang.,[]
Conflict engenders.,[]
The president appointed press secretary to Smith.,[]
The captain named Seafarer to the ship.,[]
The president declared Smith as press secretary.,[]
The president declared Smith to press secretary.,[]
The press conjectured Smith the appointee.,[]
Dina posed a lawyer.,[]
The Mona Lisa sees easily.,[]
We spotted that they were running.,[]
We spotted them run.,[]
Runaway cats spot easily.,[]
The children amused at the clown.,[]
Paintings admire easily.,[]
I admired him a teacher.,[]
Dorothy is needing new shoes.,[]
Dorothy needs the skills in her.,[]
Dorothy needs that dress a costume.,[]
Volunteers praise easily.,[]
The inspector analyzed the soundness in the building.,[]
I searched treasure in the cave.,[]
We rummaged the drawer for important documents.,[]
We rummaged important documents in the drawer.,[]
I hunted the woods for game.,[]
I hunted for game in the woods.,[]
Brenda haggled Molly.,[]
Brenda met.,[]
Ellen told a story at Helen.,[]
Ellen told for Helen to come.,[]
Susan whispered Rachel the news.,[]
Heather cabled the news at Sara.,[]
Ellen talked for Helen to come.,[]
Ellen talked Helen.,[]
Ellen conferred to Helen.,[]
Ellen conferred for Helen to come.,[]
Ellen and Helen conferred together.,[]
Ellen conferred Helen.,[]
Ellen said to Helen.,[]
Ellen warned to Helen.,[]
Ellen warned for Helen to come.,[]
Cynthia ate on the peach.,[]
Cynthia gobbled .,"[{'ruleId': 'COMMA_PARENTHESIS_WHITESPACE', 'message': 'Don’t put a space before the full stop.', 'suggestions': ['.']}]"
Cynthia gobbled at the pizza .,"[{'ruleId': 'COMMA_PARENTHESIS_WHITESPACE', 'message': 'Don’t put a space before the full stop.', 'suggestions': ['.']}]"
Cynthia gobbled on the pizza .,"[{'ruleId': 'COMMA_PARENTHESIS_WHITESPACE', 'message': 'Don’t put a space before the full stop.', 'suggestions': ['.']}]"
Cynthia devoured .,"[{'ruleId': 'COMMA_PARENTHESIS_WHITESPACE', 'message': 'Don’t put a space before the full stop.', 'suggestions': ['.']}]"
Cynthia devoured at the pizza .,"[{'ruleId': 'COMMA_PARENTHESIS_WHITESPACE', 'message': 'Don’t put a space before the full stop.', 'suggestions': ['.']}]"
Cynthia devoured on the pizza .,"[{'ruleId': 'COMMA_PARENTHESIS_WHITESPACE', 'message': 'Don’t put a space before the full stop.', 'suggestions': ['.']}]"
Cynthia lunched peaches.,[]
Cynthia lunched at peaches.,[]
Cynthia munched.,[]
Cynthia munched peaches.,[]
Cynthia munched at peaches.,[]
Teresa bottle fed soy milk.,"[{'ruleId': 'EN_COMPOUNDS_BOTTLE_FED', 'message': 'This word is normally spelled with a hyphen.', 'suggestions': ['bottle-fed']}]"
Paul yawned on Mary.,[]
Paul yawned at Mary.,[]
Paul breathed at Mary.,[]
Paul exhaled at Mary.,[]
Paul exhaled on Mary.,[]
Linda winked her nose.,[]
Linda winked his eye.,[]
Jennifer craned her arm.,[]
The heavy meal dozed Gloria.,[]
The shock flinched Sharon.,[]
The fear shivered Sharon.,[]
My eyes are itching my brother.,[]
My heart is pounding my brother.,[]
Tessa sprained Mary 's ankle.,"[{'ruleId': 'APOS_SPACE_CONTRACTION', 'message': 'There probably shouldn’t be a space before the apostrophe.', 'suggestions': [""Mary's""]}]"
Hunger fainted Sharon.,[]
Marlene dressed her body.,[]
The horse groomed itself.,[]
Celia brushed herself.,[]
She always wore herself.,[]
She always wore herself in purple.,[]
She always wore.,[]
Her stepmother always clad her in black.,[]
She always clad herself in black.,[]
She always clad in black.,[]
Julius Caesar murdered.,[]
Innocent victims murder easily.,[]
Children poison easily.,[]
The director sparkled the lights.,[]
Kelly reeked the onions.,[]
I gushed the fountain.,[]
The city destroyed.,[]
Cities destroy easily.,[]
The Romans destroyed the city into ruins.,[]
The Romans destroyed ruins from the city.,[]
The Romans destroyed the city into a ruin.,[]
The Romans destroyed the city from a capital into a ruin.,[]
The builders destroyed at the warehouse.,[]
Tony broke the wall with the cup.,[]
Tony broke at the window.,[]
